Wąska,12,4,56128,2023-06-23
Powstańców,28,6,73829,2023-06-23
Słoneczna,9,2,27436,2023-06-23
Kwiatowa,17,1,90873,2023-06-23
Cicha,5,3,41582,2023-06-23
Mickiewicza,7,2,78910,2023-06-23
Zielona,14,5,23561,2023-06-23
Piękna,32,4,69048,2023-06-23
Żwirki i Wigury,21,1,37015,2023-06-23
Kwiatowa,11,3,62570,2023-06-23
Słowackiego,19,2,19567,2023-06-23
Armii Krajowej,26,6,81742,2023-06-23
Wojska Polskiego,8,1,48392,2023-06-23
Łąkowa,13,4,70291,2023-06-23
Kopernika,23,3,29417,2023-06-23
Mickiewicza,6,5,89235,2023-06-23
Sportowa,16,2,53641,2023-06-23
Kwiatowa,30,1,95127,2023-06-23
Piłsudskiego,10,4,17293,2023-06-23
Warszawska,20,3,60874,2023-06-23
Mickiewicza,4,6,71359,2023-06-23
Sienkiewicza,25,5,83642,2023-06-23
Wiejska,15,2,34825,2023-06-23
Grunwaldzka,22,4,56932,2023-06-23
Ceglana,18,1,92618,2023-06-23
Chopina,3,5,47327,2023-06-23
Narutowicza,27,2,81593,2023-06-23
Mickiewicza,2,4,67924,2023-06-23
Spacerowa,31,3,53276,2023-06-23
Kościuszki,24,6,36749,2023-06-23
Wąska,12,4,62370,2023-06-23
Powstańców,28,6,86519,2023-06-23
Słoneczna,9,2,41280,2023-06-23
Kwiatowa,17,1,70859,2023-06-23
Cicha,5,3,93210,2023-06-23
Mickiewicza,7,2,57123,2023-06-23
Zielona,14,5,29834,2023-06-23
Piękna,32,4,91547,2023-06-23
Żwirki i Wigury,21,1,63942,2023-06-23
Kwiatowa,11,3,72781,2023-06-23
Słowackiego,19,2,49613,2023-06-23
Armii Krajowej,26,6,86875,2023-06-23
Wojska Polskiego,8,1,58402,2023-06-23
Łąkowa,13,4,30849,2023-06-23
Kopernika,23,3,77095,2023-06-23
Mickiewicza,6,5,41672,2023-06-23
Sportowa,16,2,93126,2023-06-23
Kwiatowa,30,1,65218,2023-06-23
Piłsudskiego,10,4,87219,2023-06-23
Warszawska,20,3,53671,2023-06-23